id,split,MSA,EGY,EGY Translation
5,corpus-6-test-corpus-26-train,هناك ، أمام بيانات السائح تماما .,ده قدامك هناك، يادوبك قدام مكتب استعلامات السياحة .,هناك ، أمام بيانات السائح تماما.
9,corpus-6-test-corpus-26-train,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,عمري ما سمعت عن العنوان ده هنا .,لم اسمع بهذا العنوان من قبل بالقرب من هنا.
11,corpus-6-test-corpus-26-train,استمر في السير في هذا الطريق حتى تجد صيدلية .,أمشي علطول لحد ما تلقي صيدلية.,استمر في السير في هذا الطريق حتى تجد صيدلية.
26,corpus-6-test-corpus-26-train,كم تكلفة الإفطار ؟,بكام الفطار؟,كم تكلفة الإفطار ؟
27,corpus-6-test-corpus-26-train,كيف أستطيع مساعدتك ؟,ازاي أقدر اساعدك؟,كيف أستطيع مساعدتك ؟
30,corpus-6-test-corpus-26-train,اتجه يسارا عند الناصية الثالثة .,احود شمال عند الناصية التالته.,اتجه يسارا عند الناصية الثالثة.
50,corpus-6-test-corpus-26-train,هل تحب أن تضع قشدة وسكر في قهوتك ؟,تحب كريمة و سكر في قهوتك؟,هل تحب أن تضع قشدة وسكر في قهوتك ؟
64,corpus-6-test-corpus-26-train,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,ممكن تصرفلي شيك بميتين دولار؟,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي
74,corpus-6-test-corpus-26-train,إذا حدث ذلك ، من فضلك أتصل بي .,لو لازم يظهر، لو سمحت كلمني .,إذا حدث ذلك ، من فضلك أتصل بي.
86,corpus-6-test-corpus-26-train,أين المقهى ؟,فين القهوة؟,أين المقهى ؟
87,corpus-6-test-corpus-26-train,أريد جاكيت للأطفال .,عايز بلوفر اطفال.,أريد جاكيت للأطفال.
91,corpus-6-test-corpus-26-train,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,اوكيه . ده بيكلف خمسه و تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص.,حسنا. إنها تتكلف خمسة وثمانون دولارا
120,corpus-6-test-corpus-26-test,كنت سأشتري هذا إن كنت في مكانك ؟,لو كنت مكانك كنت صدقت.,كنت سأشتري هذا إن كنت في مكانك ؟
129,corpus-6-test-corpus-26-train,هل لديك أحذية حريمي عند أصابع القدم ؟,حالاقي مشاكل مع الجمارك؟,هل لديك أحذية حريمي عند أصابع القدم ؟
130,corpus-6-test-corpus-26-train,هل ستواجهني أية صعوبات في الجمارك ؟,عندك جزم رسمي واسعه من قدام؟,هل ستواجهني أية صعوبات في الجمارك ؟
140,corpus-6-test-corpus-26-train,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,لأ . ممكن انصح اوضة بسريرين يقعد فيها واحد بس؟ احنا عندنا واحده .,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام
143,corpus-6-test-corpus-26-train,أريد تمويج متقارب لشعري ، من فضلك .,عاوز كيرلي جامد، لو سمحت.,أريد تمويج متقارب لشعري ، من فضلك.
145,corpus-6-test-corpus-26-train,هي تريد بيرة .,نفسها في بيرة.,هي تريد بيرة.
157,corpus-6-test-corpus-26-train,صباح الخير . كيف حالك .,صباح الخير . عامل ايه؟,صباح الخير. كيف حالك.
158,corpus-6-test-corpus-26-train,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,متأسف بس محتاج أشوف أى مستند اثبات شخصية .,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد
169,corpus-6-test-corpus-26-train,أي نوع من الملابس ؟,أى نوع صوص؟,أي نوع من الملابس ؟
170,corpus-6-test-corpus-26-train,هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟,ده ساقع شوية . ممكن تدفيه؟,هذا بارد إلى حد ما. هل يمكن أن تقوم بتسخ
173,corpus-6-test-corpus-26-test,أسف ، هذا المكان محجوز بالفعل .,اسف، المكان ده متاخد.,أسف ، هذا المكان محجوز بالفعل.
176,corpus-6-test-corpus-26-train,أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟,انا كويس جدا. .بس ممكن من غير مؤاخذه تكلم صاحبي؟,أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق 
177,corpus-6-test-corpus-26-test,شكراً ، هذا يكفي .,شكرا ليك، ده كفاية .,شكراً ، هذا يكفي.
184,corpus-6-test-corpus-26-train,من هو أفضل صديق لك ؟,مين أقرب صديق ليك؟,من هو أفضل صديق لك ؟
187,corpus-6-test-corpus-26-train,يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .,يوم الصحة والرياضة في عشرة اكتوبر معمول علشان يحسن صحة الناس .,يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قوم
192,corpus-6-test-corpus-26-train,هل تريد أن افحص موتور السيارة ؟,عايزني ابص تحت الكبوت؟,هل تريد أن افحص موتور السيارة ؟
206,corpus-6-test-corpus-26-train,هل لك أن تساعدني في الوصول إلى حقيبتي ؟,ممكن تساعدني الاقي شنطتي؟,هل لك أن تساعدني في الوصول إلى حقيبتي ؟
221,corpus-6-test-corpus-26-train,هل ستقوم بعمل الترتيبات مقدماً ؟,ممكن مقدما نجهز الترتيبات؟,هل ستقوم بعمل الترتيبات مقدماً ؟
238,corpus-6-test-corpus-26-train,تقدم إلىّ المساعدة ، شكراً لك .,فيه حد بيساعدني. شكرا .,تقدم إلىّ المساعدة ، شكراً لك.
261,corpus-6-test-corpus-26-train,عندما تصل هناك أسأل شخص آخر ، من فضلك .,لما توصل هناك، اسأل واحد تاني، من فضلك .,عندما تصل هناك أسأل شخص آخر ، من فضلك.
280,corpus-6-test-corpus-26-train,أريد الامتداد أربع وعشرون ، من فضلك .,من فضلك عايز امد حجزي للغرفة، اربعه و عشرين ساعه كمان.,أريد الامتداد أربع وعشرون ، من فضلك.
285,corpus-6-test-corpus-26-train,تفضل هذان دولاران . احتفظ بالباقي .,ادي دولارين. خللي الباقي عشانك.,تفضل هذان دولاران. احتفظ بالباقي.
315,corpus-6-test-corpus-26-train,واحد هامبرجر وواحد شيز برجر ، من فضلك .,ممكن واحد هامبرجر وواحد شيز برجر.,واحد هامبرجر وواحد شيز برجر ، من فضلك.
319,corpus-6-test-corpus-26-train,كم تتقاضى لتطبيع صور الفيلم ؟,بتاخد كام في العملية؟,كم تتقاضى لتطبيع صور الفيلم ؟
320,corpus-6-test-corpus-26-train,كلا منا يريد أن يحاسب على وجبته .,نحب ندفع تمن اكلنا .,كلا منا يريد أن يحاسب على وجبته.
326,corpus-6-test-corpus-26-train,المكان كان على كرسي في البهو .,المكان كان على كرسي في الطرقة.,المكان كان على كرسي في البهو.
